tconst	averageRating	numVotes
tt0002423	6.6	897
tt0002429	6.2	173
tt0002434	9.2	13
tt0002437	9.0	12
tt0002440	3.9	28
tt0002441	5.5	33
tt0002443	4.2	18
tt0002445	6.2	375
tt0002449	6.3	60
tt0002451	8.5	22
tt0002452	6.4	242
tt0002461	5.7	284
tt0002465	5.2	53
tt0002473	6.5	83
tt0002475	7.0	104
tt0002477	5.8	13
tt0002478	5.6	62
tt0002484	5.5	54
tt0002497	6.2	112
tt0002500	5.9	13
tt0002501	4.4	41
tt0002504	5.1	56
tt0002505	5.0	20
tt0002506	5.6	35
tt0002512	6.3	384
tt0002514	4.6	18
tt0002515	4.9	17
tt0002521	5.1	36
tt0002523	5.7	97
tt0002528	5.1	58
tt0002529	4.5	16
tt0002531	6.2	16
tt0002532	5.9	85
tt0002533	5.2	74
tt0002535	4.7	46
tt0002536	5.4	51
tt0002538	5.3	16
tt0002542	5.9	23
tt0002544	5.8	214
tt0002545	7.4	15
tt0002546	7.1	26
tt0002547	5.8	15
tt0002550	5.2	46
tt0002553	6.5	879
tt0002555	4.7	41
tt0002556	6.0	22
tt0002562	5.1	23
tt0002569	5.3	235
tt0002574	6.2	25
tt0002576	4.8	48
